			    Stanford Mean Solar Magnetic Field (microTesla)

       2000                                                                               

	Jan.	Feb.	March	April	May	June	July	Aug.	Sept.	Oct.	Nov.	Dec.
day												
1	89	-26	-33	-49	-3	16	87	47	.	16	37	.
2	79	-59	.	-38	.	33	.	38	.	-2	11	27
3	32	.	-44	-22	-15	28	.	5	.	15	.	-33
4	.	-98	17	3	-6	46	.	16	.	29	26	-156
5	-13	.	.	9	8	20	.	14	0	42	-13	-123

6	-42	-13	.	17	25	19	.	.	-10	40	-36	.
7	-103	.	.	6	.	28	39	16	-9	29	-60	.
8	-65	-2	.	.	3	.	34	14	12	35	.	-11
9	-48	.	.	30	20	6	53	-12	15	.	-90	.
10	-56	.	16	26	33	8	23	-18	13	.	.	.

11	.	.	.	15	27	31	6	-39	13	.	-20	.
12	.	.	15	.	21	.	-24	-15	6	-94	26	.
13	-24	.	30	.	.	29	-9	-11	-46	-115	81	.
14	.	67	17	11	72	.	-33	4	.	-35	107	25
15	.	9	19	.	70	1	-34	-11	-65	1	101	-36

16	16	.	45	.	.	.	.	-1	26	46	32	13
17	.	-20	56	52	102	.	-29	6	-7	77	-2	22
18	23	-25	37	73	53	.	-27	-15	6	105	-17	11
19	.	.	57	73	25	-37	-36	-41	36	66	9	-18
20	.	.	.	56	29	-46	-45	-40	74	.	0	.

21	.	.	54	19	22	-34	-30	-29	38	-20	.	.
22	24	.	66	-37	-23	-30	-26	3	.	-23	-40	-54
23	.	70	60	-36	.	-33	-26	21	15	-4	.	.
24	.	.	30	-21	-45	-132	-25	47	-8	-6	.	-103
25	.	.	-1	-20	-48	-42	-5	46	-12	.	11	.

26	42	.	-16	-14	-48	-29	6	50	18	.	22	.
27	66	.	.	-22	-47	.	14	44	.	.	45	.
28	30	.	-33	-14	-68	.	64	44	.	.	67	.
29	34	.	-75	-11	-21	.	56	.	72	15	.	38
30	.	. 	-75	3	-19	13	65	.	34	.	49	121
31	.	. 	-68	. 	-4	.	60	.	. 	.	. 	4
